"script_name","run_time","red","green","blue","x_coordinate","y_coordinate","finished"
"pyautogui-pixel-color.py",279.03199195900004,20,21,22,2632,634,1515976776.523765
"pyautogui-pixel-color.py",279.140949249,45,42,46,1015,1267,1515976776.954914
"pyautogui-pixel-color.py",280.56716918899997,20,21,22,2507,1321,1515976777.413424
"pyautogui-pixel-color.py",278.74994277999997,34,31,34,29,473,1515976777.84498
"pyautogui-pixel-color.py",279.957056046,45,42,46,1584,963,1515976778.308529
"pyautogui-pixel-color.py",281.285047531,20,21,22,2349,1211,1515976778.734039
"pyautogui-pixel-color.py",279.284000397,45,42,46,1534,890,1515976779.197166
"pyautogui-pixel-color.py",279.392004013,34,31,34,125,581,1515976779.629889
"pyautogui-pixel-color.py",281.67009353599997,40,85,119,201,420,1515976780.093073
"pyautogui-pixel-color.py",279.26087379499995,40,85,119,1,522,1515976780.55661
"pyautogui-pixel-color.py",280.26413917499997,45,42,46,1177,666,1515976780.982703
"pyautogui-pixel-color.py",279.251813889,20,21,22,2355,744,1515976781.442617
"pyautogui-pixel-color.py",280.77006339999997,45,42,46,383,536,1515976781.87464
"pyautogui-pixel-color.py",280.40099144000004,45,42,46,530,1320,1515976782.339191
"pyautogui-pixel-color.py",282.045125961,20,21,22,2874,1091,1515976782.798725
"pyautogui-pixel-color.py",307.729959488,55,52,56,1037,1393,1515976783.266826
"pyautogui-pixel-color.py",281.331062317,217,217,216,66,643,1515976783.696062
"pyautogui-pixel-color.py",282.357931137,20,21,22,2395,714,1515976784.126598
"pyautogui-pixel-color.py",280.97486496,45,42,46,1415,1108,1515976784.588169
"pyautogui-pixel-color.py",281.134128571,45,42,46,1550,1074,1515976785.048548
"pyautogui-pixel-color.py",281.975984573,45,42,46,795,1044,1515976785.511463
"pyautogui-pixel-color.py",280.215024948,20,21,22,2755,433,1515976785.973547
"pyautogui-pixel-color.py",282.037973404,20,21,22,2347,835,1515976786.43629
"pyautogui-pixel-color.py",280.627965927,102,103,101,2437,946,1515976786.89858
"pyautogui-pixel-color.py",282.019853592,34,31,34,248,665,1515976787.357119
"pyautogui-pixel-color.py",280.215024948,45,42,46,1640,1204,1515976787.817112
"pyautogui-pixel-color.py",280.276060104,45,42,46,1331,1381,1515976788.281747
"pyautogui-pixel-color.py",280.884981155,20,21,22,2956,958,1515976788.75334
"pyautogui-pixel-color.py",293.433904648,45,42,46,1456,1362,1515976789.206714
"pyautogui-pixel-color.py",280.510187149,45,42,46,1882,607,1515976789.668385
"pyautogui-pixel-color.py",281.69989585900004,20,21,22,2398,1006,1515976790.11303
